ID,Count,Description
10397,31899,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
13930,25757,"Chicago, IL: Chicago O'Hare International"
11292,20891,"Denver, CO: Denver International"
12892,19399,"Los Angeles, CA: Los Angeles International"
14771,16641,"San Francisco, CA: San Francisco International"
11298,15977,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
14747,13578,"Seattle, WA: Seattle/Tacoma International"
12889,13367,"Las Vegas, NV: McCarran International"
14107,13040,"Phoenix, AZ: Phoenix Sky Harbor International"
13487,12808,"Minneapolis, MN: Minneapolis-St Paul International"
